S_BATTER,S_BATTER,S_WICKETTYPE,S_WICKETTYPE
self,other,self,other
Graeme Smith,Kumar Sangakkara_Autotest,,
Graeme Smith,Kumar Sangakkara_Autotest,,
Dale Steyn,Kumar Sangakkara_Autotest,,
Dale Steyn,Kumar Sangakkara_Autotest,,
Monde Zondeki,Kumar Sangakkara_Autotest,,
Monde Zondeki,Kumar Sangakkara_Autotest,,
Thomas Odoyo,Kumar Sangakkara_Autotest,,
Thomas Odoyo,Kumar Sangakkara_Autotest,,
Boeta Dippenaar,Kumar Sangakkara_Autotest,,
Boeta Dippenaar,Kumar Sangakkara_Autotest,,
Jacques Kallis,Kumar Sangakkara_Autotest,,
Jacques Kallis,Kumar Sangakkara_Autotest,,
Jacques Rudolph,Kumar Sangakkara_Autotest,,
Jacques Rudolph,Kumar Sangakkara_Autotest,,
Ashwell Prince,Kumar Sangakkara_Autotest,,
Ashwell Prince,Kumar Sangakkara_Autotest,,
Justin Kemp,Kumar Sangakkara_Autotest,,
Justin Kemp,Kumar Sangakkara_Autotest,,
Tatenda Taibu,Kumar Sangakkara_Autotest,,
Tatenda Taibu,Kumar Sangakkara_Autotest,,
Shaun Pollock,Kumar Sangakkara_Autotest,,
Shaun Pollock,Kumar Sangakkara_Autotest,,
Heath Streak,Kumar Sangakkara_Autotest,,
Heath Streak,Kumar Sangakkara_Autotest,,
Virender Sehwag,Kumar Sangakkara_Autotest,,
Virender Sehwag,Kumar Sangakkara_Autotest,,
Shoaib Akhtar,Kumar Sangakkara_Autotest,,
Shoaib Akhtar,Kumar Sangakkara_Autotest,,
Muttiah Muralitharan,Kumar Sangakkara_Autotest,,
Muttiah Muralitharan,Kumar Sangakkara_Autotest,,
Mohammad Ashraful,Kumar Sangakkara_Autotest,,
Mohammad Ashraful,Kumar Sangakkara_Autotest,,
Shahid Afridi,Kumar Sangakkara_Autotest,,
Shahid Afridi,Kumar Sangakkara_Autotest,,
Kumar Sangakkara,Kumar Sangakkara_Autotest,,
Kumar Sangakkara,Kumar Sangakkara_Autotest,Notout,Notout_Autotest
Mahela Jayawardene,Kumar Sangakkara_Autotest,,
Mahela Jayawardene,Kumar Sangakkara_Autotest,,
Mohammad Yousuf,Kumar Sangakkara_Autotest,,
Mohammad Yousuf,Kumar Sangakkara_Autotest,,
Inzamam Ul Haq,Kumar Sangakkara_Autotest,,
Inzamam Ul Haq,Kumar Sangakkara_Autotest,,
Abdul Razzaq,Kumar Sangakkara_Autotest,,
Abdul Razzaq,Kumar Sangakkara_Autotest,,
Ashish Nehra,Kumar Sangakkara_Autotest,,
Ashish Nehra,Kumar Sangakkara_Autotest,,
Zaheer Khan,Kumar Sangakkara_Autotest,,
Zaheer Khan,Kumar Sangakkara_Autotest,,
