MAINTITLE,ParentObjdId,S_TEAM,S_BAT_ORDER,S_BATTER,S_WICKETTYPE,S_FIELDERNAME,S_BOWLER,S_RUNS,S_MINUTES,S_FOURS,S_SIXES,S_STRIKERATE,S_BALLS,S_INNINGS,EX_MATCH_ID
Odisha_1,1217764,Odisha,1,Madhuri Mehta,Notout,,,40,0,1,0,67,59,1,3302
Odisha_10,1217764,Odisha,10,Bandanapriyadarshini Hanuma,DNB,,,0,0,0,0,0,0,1,3302
Odisha_11,1217764,Odisha,11,Sujata Mallik,DNB,,,0,0,0,0,0,0,1,3302
Odisha_2,1217764,Odisha,2,Madhusmita Behera,STUMPED,Sushma Verma,Poonam Yadav,21,0,4,0,110,19,1,3302
Odisha_3,1217764,Odisha,3,Sarita Meher,STUMPED,Sushma Verma,Poonam Yadav,9,0,1,0,39,23,1,3302
Odisha_4,1217764,Odisha,4,Pragyan Mohanty,Notout,,,9,0,0,0,47,19,1,3302
Odisha_5,1217764,Odisha,5,S Dibyadarshini,DNB,,,0,0,0,0,0,0,1,3302
Odisha_6,1217764,Odisha,6,Priyanka Priyadarshini,DNB,,,0,0,0,0,0,0,1,3302
Odisha_7,1217764,Odisha,7,Ritu Singh,DNB,,,0,0,0,0,0,0,1,3302
Odisha_8,1217764,Odisha,8,Rajasree Swain,DNB,,,0,0,0,0,0,0,1,3302
Odisha_9,1217764,Odisha,9,Reemalaxmi Ekka,DNB,,,0,0,0,0,0,0,1,3302
Railways_1,1217764,Railways,1,Niranjana Nagarajan,LBW,,Sujata Mallik,8,0,0,0,61,13,1,3302
Railways_10,1217764,Railways,10,Sneh Rana,DNB,,,0,0,0,0,0,0,1,3302
Railways_11,1217764,Railways,11,Kavita Patil,DNB,,,0,0,0,0,0,0,1,3302
Railways_2,1217764,Railways,2,Thirush Kamini,RUNOUT,Sarita Meher,,39,0,3,0,78,50,1,3302
Railways_3,1217764,Railways,3,Mithali Raj,RUNOUT,Sujata Mallik,,74,0,7,0,145,51,1,3302
Railways_4,1217764,Railways,4,Harmanpreet Kaur,Notout,,,8,0,0,0,133,6,1,3302
Railways_5,1217764,Railways,5,Veda Krishnamurthy,Notout,,,0,0,0,0,0,0,1,3302
Railways_6,1217764,Railways,6,Ekta Bisht,DNB,,,0,0,0,0,0,0,1,3302
Railways_7,1217764,Railways,7,Poonam Yadav,DNB,,,0,0,0,0,0,0,1,3302
Railways_8,1217764,Railways,8,Rajeshwari Gayakwad,DNB,,,0,0,0,0,0,0,1,3302
Railways_9,1217764,Railways,9,Sushma Verma,DNB,,,0,0,0,0,0,0,1,3302
